"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"621","广西","玉林师范学院","公办普通本科","4145010606","广西壮族自治区","玉林市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"699","贵州","安顺学院","公办普通本科","4152010667","贵州省","安顺市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"709","贵州","贵阳康养职业大学","公办职业本科","4152016206","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"704","贵州","贵阳学院","公办普通本科","4152010976","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"702","贵州","贵州财经大学","公办普通本科","4152010671","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"692","贵州","贵州大学","公办普通本科","4152010657","贵州省","贵阳市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"706","贵州","贵州工程应用技术学院","公办普通本科","4152010668","贵州省","毕节市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"708","贵州","贵州警察学院","公办普通本科","4152012107","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"703","贵州","贵州民族大学","公办普通本科","4152010672","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"696","贵州","贵州师范大学","公办普通本科","4152010663","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"693","贵州","贵州医科大学","公办普通本科","4152010660","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"695","贵州","贵州中医药大学","公办普通本科","4152010662","贵州省","贵阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"700","贵州","凯里学院","公办普通本科","4152010669","贵州省","黔东南苗族侗族自治州","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"705","贵州","六盘水师范学院","公办普通本科","4152010977","贵州省","六盘水市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"701","贵州","黔南民族师范学院","公办普通本科","4152010670","贵州省","黔南布依族苗族自治州","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"698","贵州","铜仁学院","公办普通本科","4152010665","贵州省","铜仁市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"707","贵州","兴义民族师范学院","公办普通本科","4152010666","贵州省","黔西南布依族苗族自治州","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"697","贵州","遵义师范学院","公办普通本科","4152010664","贵州省","遵义市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"694","贵州","遵义医科大学","公办普通本科","4152010661","贵州省","遵义市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"631","海南","海南大学","公办普通本科","4146010589","海南省","海口市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"632","海南","海南师范大学","公办普通本科","4146011658","海南省","海口市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"633","海南","海南医学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"634","海南","琼台师范学院","公办普通本科","4146013811","海南省","海口市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"635","海南","三亚学院","公办普通本科","4146013892","海南省教育厅","三亚市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"86","河北","保定学院","公办普通本科","4113010096","河北省","保定市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"100","河北","北华航天工业学院","公办普通本科","4113011629","河北省","廊坊市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"94","河北","沧州师范学院","公办普通本科","4113010105","河北省","沧州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
